

Cross section per integration channel:
          P0_dxu_wpz                1   4.02651581e-01    1.7651e-03       0.4384%  
          P0_udx_wpz                1   4.05104291e-01    1.7498e-03       0.4319%  
          P0_udx_wpz                1   4.01548930e-01    1.7469e-03       0.4350%  
          P0_dxu_wpz                1   4.02491129e-01    1.7425e-03       0.4329%  
          P0_udx_wpz                1   4.03744596e-01    1.7284e-03       0.4281%  
          P0_udx_wpz                1   4.01800276e-01    1.7128e-03       0.4263%  
          P0_dxu_wpz                1   4.03096954e-01    1.7116e-03       0.4246%  
          P0_dxu_wpz                1   4.03253069e-01    1.7074e-03       0.4234%  
          P0_dxu_wpz                1   4.02431344e-01    1.6869e-03       0.4192%  
          P0_dxu_wpz                1   4.03062598e-01    1.6400e-03       0.4069%  
          P0_dxu_wpz                1   4.00999175e-01    1.6298e-03       0.4064%  
          P0_udx_wpz                1   4.00620377e-01    1.5932e-03       0.3977%  
          P0_udx_wpz                1   4.02664790e-01    1.5875e-03       0.3942%  
          P0_dxu_wpz                1   3.99714990e-01    1.5864e-03       0.3969%  
          P0_udx_wpz                1   4.02408710e-01    1.5849e-03       0.3939%  
          P0_udx_wpz                1   4.01547818e-01    1.5799e-03       0.3934%  
          P0_udx_wpz                1   4.00687895e-01    1.5506e-03       0.3870%  
          P0_udx_wpz                1   4.01547889e-01    1.5095e-03       0.3759%  
          P0_dxu_wpz                1   4.01815504e-01    1.4901e-03       0.3708%  
          P0_dxu_wpz                1   4.01215333e-01    1.4861e-03       0.3704%  
          P0_udx_wpz                1   4.01792082e-01    1.4850e-03       0.3696%  
          P0_dxu_wpz                1   4.00580283e-01    1.4557e-03       0.3634%  
          P0_udx_wpz                1   4.00734160e-01    1.4400e-03       0.3593%  


ABS cross section per dir
          P0_dxu_wpz   9.66809495e+00    1.1193e-02 
          P0_udx_wpz   9.68071806e+00    1.0022e-02 


Cross section per dir
          P0_dxu_wpz   9.60983096e+00    1.1214e-02 
          P0_udx_wpz   9.62031606e+00    1.0047e-02 

Total ABS and 
Total: 
                      1.93488130e+01 +- 1.5024e-02  (7.7650e-02%)
                      1.92301470e+01 +- 1.5057e-02  (7.8297e-02%) 
